filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.SOEI.SH.gfz2013yfql.mseed,GE,SOEI,SHN,GE.SOEI..SHN,2013-12-11T14:50:02.768393,2013-12-11T14:55:03.558393,300.79,100.0,30080
GE.SOEI.SH.gfz2013yfql.mseed,GE,SOEI,SHZ,GE.SOEI..SHZ,2013-12-11T14:50:02.768393,2013-12-11T14:55:03.558393,300.79,100.0,30080
GE.SOEI.BH.gfz2012yeob.mseed,GE,SOEI,BHE,GE.SOEI..BHE,2012-12-10T00:31:05.069538,2012-12-10T00:36:05.859538,300.79,100.0,30080
GE.SOEI.BH.gfz2012yeob.mseed,GE,SOEI,BHN,GE.SOEI..BHN,2012-12-10T00:31:05.069538,2012-12-10T00:36:05.859538,300.79,100.0,30080
GE.SOEI.BH.gfz2012yeob.mseed,GE,SOEI,BHZ,GE.SOEI..BHZ,2012-12-10T00:31:05.069538,2012-12-10T00:36:05.859538,300.79,100.0,30080
GE.MNAI.BH.gfz2010veze.mseed,GE,MNAI,BHE,GE.MNAI..BHE,2010-10-29T18:10:19.869538,2010-10-29T18:15:20.659538,300.79,100.0,30080
GE.MNAI.BH.gfz2010veze.mseed,GE,MNAI,BHN,GE.MNAI..BHN,2010-10-29T18:10:19.869538,2010-10-29T18:15:20.659538,300.79,100.0,30080
GE.MNAI.BH.gfz2010veze.mseed,GE,MNAI,BHZ,GE.MNAI..BHZ,2010-10-29T18:10:19.869538,2010-10-29T18:15:20.659538,300.79,100.0,30080
GE.FAKI.BL.gfz2014genx.mseed,GE,FAKI,BLE,GE.FAKI..BLE,2014-03-29T20:47:20.169538,2014-03-29T20:52:20.959538,300.79,100.0,30080
GE.FAKI.BL.gfz2014genx.mseed,GE,FAKI,BLN,GE.FAKI..BLN,2014-03-29T20:47:20.169538,2014-03-29T20:52:20.959538,300.79,100.0,30080
GE.FAKI.BL.gfz2014genx.mseed,GE,FAKI,BLZ,GE.FAKI..BLZ,2014-03-29T20:47:20.169538,2014-03-29T20:52:20.959538,300.79,100.0,30080
GE.BKB.SH.gfz2024uowt.mseed,GE,BKB,SHE,GE.BKB..SHE,2024-10-19T18:07:34.543130,2024-10-19T18:12:35.333130,300.79,100.0,30080
GE.BKB.SH.gfz2024uowt.mseed,GE,BKB,SHN,GE.BKB..SHN,2024-10-19T18:07:34.543130,2024-10-19T18:12:35.333130,300.79,100.0,30080
GE.BKB.SH.gfz2024uowt.mseed,GE,BKB,SHZ,GE.BKB..SHZ,2024-10-19T18:07:34.543130,2024-10-19T18:12:35.333130,300.79,100.0,30080
GE.UGM.SL.gfz2014rffr.mseed,GE,UGM,SLE,GE.UGM..SLE,2014-09-02T18:39:46.608393,2014-09-02T18:44:47.418393,300.81,100.0,30082
GE.UGM.SL.gfz2014rffr.mseed,GE,UGM,SLN,GE.UGM..SLN,2014-09-02T18:39:46.608393,2014-09-02T18:44:47.418393,300.81,100.0,30082
GE.UGM.SL.gfz2014rffr.mseed,GE,UGM,SLZ,GE.UGM..SLZ,2014-09-02T18:39:46.608393,2014-09-02T18:44:47.418393,300.81,100.0,30082
GE.BNDI.HL.gfz2015ycdd.mseed,GE,BNDI,HLE,GE.BNDI..HLE,2015-12-09T16:42:28.258393,2015-12-09T16:47:29.068393,300.81,100.0,30082
GE.BNDI.HL.gfz2015ycdd.mseed,GE,BNDI,HLN,GE.BNDI..HLN,2015-12-09T16:42:28.258393,2015-12-09T16:47:29.068393,300.81,100.0,30082
GE.BNDI.HL.gfz2015ycdd.mseed,GE,BNDI,HLZ,GE.BNDI..HLZ,2015-12-09T16:42:28.258393,2015-12-09T16:47:29.068393,300.81,100.0,30082
GE.PLAI.SL.gfz2012dcye.mseed,GE,PLAI,SLE,GE.PLAI..SLE,2012-02-14T07:05:52.868391,2012-02-14T07:10:53.668391,300.8,100.0,30081
GE.PLAI.SL.gfz2012dcye.mseed,GE,PLAI,SLN,GE.PLAI..SLN,2012-02-14T07:05:52.868391,2012-02-14T07:10:53.668391,300.8,100.0,30081
